tags,genre,year,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
"rock, alternative, indie, indie_rock, british, britpop",Rock,2006,208973,0.543,0.873,10,-5.159,0,0.0803,0.0165,9.45e-05,0.15,0.786,150.891,4
"rock, alternative, indie, pop, alternative_rock, indie_rock, 80s, british, new_wave, post_punk, love, beautiful, britpop",Rock,2008,243573,0.522,0.734,4,-6.899,1,0.0269,0.0425,0.0,0.172,0.864,135.991,4
"rock, alternative, indie, alternative_rock, progressive_rock, british",Rock,2003,297000,0.434,0.977,2,-4.845,1,0.0786,0.00187,0.166,0.347,0.0939,128.223,4
"rock, alternative, alternative_rock, hard_rock, 90s, grunge",Rock,2008,258173,0.389,0.802,10,-7.352,0,0.0662,5.42e-05,0.877,0.044,0.525,122.153,4
"rock, alternative, indie, indie_rock, blues, blues_rock",RnB,2010,211121,0.491,0.706,1,-6.207,0,0.0669,0.00118,3.98e-06,0.496,0.573,108.927,4
"rock, alternative, indie, alternative_rock, indie_rock, british, britpop",Rock,2006,134933,0.593,0.333,9,-14.342,1,0.046,0.358,0.0,0.245,0.258,103.537,4
"rock, alternative, indie, alternative_rock, indie_rock, british, britpop",Rock,2006,195426,0.215,0.876,9,-5.327,0,0.0429,0.00165,0.0,0.313,0.715,188.89,4
"rock, alternative, indie, alternative_rock, indie_rock, american",Rock,2014,175080,0.497,0.666,3,-5.038,1,0.0326,0.181,0.000131,0.432,0.356,90.03,4
"rock, alternative, alternative_rock, punk, punk_rock, emo",Rock,2004,161920,0.458,0.859,4,-3.173,1,0.0607,0.0595,0.0,0.189,0.846,110.734,4
"rock, female_vocalists, classic_rock, psychedelic, 60s, oldies, psychedelic_rock",Rock,2008,175293,0.487,0.701,4,-4.908,1,0.0323,0.115,0.0,0.251,0.669,132.416,4
"rock, electronic, alternative, indie, alternative_rock, experimental, indie_rock, british, acoustic, beautiful",Rock,2007,129680,0.338,0.289,0,-13.479,1,0.0366,0.834,0.344,0.0966,0.226,121.857,3
"rock, electronic, alternative, indie, alternative_rock, experimental, british, chillout, 90s, beautiful, britpop",Rock,1996,285200,0.172,0.655,11,-7.476,0,0.042,0.0971,0.128,0.195,0.221,78.653,4
